This file was created using the 202303 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 2 ME portfolios
and 3 BE/ME portfolios in Europe.

The portfolios are constructed at the end of June.  ME is market cap at the end
of June.  BE/ME is book equity at the last fiscal year end of the prior calendar
year divided by ME as of  6 months before formation.  Firms with negative
BE are not included in any portfolio.

The annual returns are from January to December.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Monthly
               Small                 Big
          Low     2    High    Low     2    High
200303  -0.75  -0.38  -0.78  -0.74  -1.91  -1.73
200304  12.13  11.70  10.66  12.46  13.91  14.42
200305  10.40  10.41  10.46   6.83   7.31   9.00
200306   3.25   3.18   2.71   0.00   1.79   1.38
200307   1.60   2.44   4.55  -1.09   3.25   3.72
200308   3.23   2.55   3.80   0.73  -0.66   0.18
200309   5.00   5.11   5.98   3.34   2.13   2.49
200310   4.40   5.56   6.73   4.24   6.84   9.22
200311   4.07   4.86   4.88   4.77   4.24   4.79
200312   5.22   5.62   5.90   7.32   7.84   7.62
200401   4.36   5.82   7.49   1.48   2.05   3.12
200402   3.62   4.02   4.65   2.92   3.54   2.64
200403  -3.02  -2.43  -2.38  -3.39  -2.55  -4.54
200404  -2.39  -1.33  -1.83  -1.28  -1.25  -0.12
200405   0.33   0.99   0.20   2.23   1.57   0.69
200406   3.02   2.74   3.52   1.35   1.88   2.80
200407  -3.37  -2.90  -2.85  -3.78  -2.17  -3.40
200408  -0.64   0.02   0.98  -0.18   1.09   0.83
200409   4.24   4.31   4.41   3.10   4.77   4.42
200410   4.38   4.57   4.05   3.51   4.15   5.22
200411   8.39   8.91   9.84   6.13   6.59   8.14
200412   3.95   5.38   4.96   4.21   4.35   4.64
200501   1.04   2.19   2.99  -2.38  -0.91  -1.20
200502   5.13   5.04   6.27   4.12   4.95   5.05
200503  -2.97  -2.38  -2.19  -2.02  -2.70  -2.33
200504  -2.95  -2.27  -0.69  -0.99  -3.08  -3.46
200505  -1.94  -0.85  -0.56   0.31   0.06   1.28
200506   1.22   2.94   3.28   0.16   3.06   1.37
200507   3.90   4.80   4.85   3.47   3.87   5.21
200508   4.64   4.38   3.72   1.84   1.97   2.54
200509   1.27   1.65   1.80   2.31   1.42   2.04
200510  -4.12  -4.10  -3.62  -2.29  -4.00  -1.98
200511   1.40   0.91   1.58   0.83   2.15   1.77
200512   4.46   4.92   4.50   3.32   4.58   4.17
200601   8.56   8.38   9.48   5.15   6.85   7.72
200602   2.22   3.39   3.03  -0.17   0.61   1.91
200603   4.13   5.34   6.08   4.07   3.73   5.53
200604   7.46   7.17   7.23   5.97   4.86   5.56
200605  -3.81  -4.12  -4.31  -2.80  -3.19  -3.40
200606  -1.78  -1.13  -1.14   1.00   0.45  -0.66
200607  -0.99  -0.40   0.62   0.62   1.78   2.24
200608   3.02   2.33   3.41   3.22   2.76   3.60
200609   1.86   0.57   0.89   0.18   1.11   1.79
200610   3.39   4.47   5.26   3.89   3.94   5.02
200611   6.35   6.27   6.52   3.30   4.29   3.82
200612   5.11   4.12   4.45   2.75   3.51   4.50
200701   1.81   3.43   3.13   1.11   0.27   1.34
200702   0.70   1.66   0.85   0.16  -0.50  -0.16
200703   3.93   4.70   5.13   3.95   4.93   2.83
200704   5.20   5.99   5.93   5.00   6.09   6.80
200705   0.93   1.45   1.01   1.11   2.30   2.15
200706  -0.80  -0.28  -0.02   0.26   0.35   0.28
200707  -0.67   0.36  -0.16  -1.39  -1.88  -2.63
200708  -4.59  -5.14  -3.53  -0.52  -1.59  -1.69
200709   2.35   1.63   1.88   6.67   4.89   5.46
200710   5.56   5.55   4.03   4.60   5.01   4.28
200711  -8.41  -7.58  -7.27  -0.71  -2.87  -5.38
200712  -3.40  -2.36  -2.44  -2.96  -1.18  -1.47
200801 -10.47  -9.51  -8.10  -8.42  -9.99 -10.81
200802   4.19   4.83   4.63   2.20   2.57   0.74
200803  -0.51  -0.10   0.04  -1.54   0.04   2.65
200804   1.66   3.51   1.52   4.40   5.44   4.52
200805   1.43   1.66   1.37   1.74   1.81  -0.54
200806  -7.95  -6.75  -5.98  -6.82  -8.73 -10.18
200807  -5.28  -4.64  -5.67  -3.04  -5.32  -0.75
200808  -4.13  -4.18  -4.32  -3.98  -5.02  -3.97
200809 -17.93 -17.53 -16.85 -13.77 -16.21 -13.02
200810 -25.82 -26.47 -27.04 -19.10 -20.56 -24.93
200811  -8.16  -7.49  -9.20  -4.75  -6.17 -10.97
200812   3.32   5.19   6.87   6.43   8.06   5.31
200901  -5.16  -7.62  -7.28  -8.84 -11.19 -14.81
200902  -4.78  -6.13  -7.17  -7.71 -10.22 -13.79
200903   6.37   4.12   4.72   6.16   5.92  10.73
200904  16.84  15.07  16.37   8.41  12.22  22.20
200905  14.58  13.64  13.20  12.50  13.72  11.41
200906   0.56  -0.16  -1.18  -0.92  -2.97  -1.56
200907   6.40   6.36   8.15   8.30  10.26  14.10
200908   4.57   7.34  11.51   2.70   4.35  10.81
200909   6.32   6.97   7.67   4.92   5.18   5.83
200910   0.08  -0.50  -1.30  -0.03  -1.39  -5.21
200911   1.58   1.05   0.57   3.59   3.57   2.16
200912  -0.42  -0.77  -1.19   1.68   1.44  -0.04
201001  -0.83  -1.28  -1.16  -3.78  -6.42  -7.18
201002  -2.37  -2.43  -3.54  -0.78  -2.25  -3.18
201003   3.95   5.78   7.23   4.48   6.14   9.74
201004   1.49   0.87   0.78  -2.87  -0.81  -2.75
201005 -11.12 -11.92 -14.00 -10.07 -12.00 -14.37
201006  -0.65   0.31  -2.17   1.23  -2.38  -1.69
201007  10.21  10.27  11.30   9.18  11.44  17.28
201008  -4.27  -4.11  -4.87  -1.87  -4.39  -6.65
201009  13.00  13.02  11.35  10.64  12.03  11.77
201010   5.57   5.50   5.19   4.63   5.02   5.15
201011  -7.46  -6.09  -8.36  -5.94  -7.55 -11.87
201012  10.23  11.88  11.09   7.72   9.51   9.20
201101   2.54   3.58   4.94   0.17   3.47   8.72
201102   1.70   1.88   2.60   3.04   3.03   3.54
201103   2.00   2.28   0.98   0.98  -0.54  -1.69
201104   7.39   6.84   7.03   8.75   8.28   7.58
201105  -2.57  -2.62  -3.48  -1.00  -3.57  -4.58
201106  -3.09  -3.22  -3.23  -1.81  -2.14  -1.52
201107  -2.20  -2.66  -4.34  -0.81  -2.57  -6.78
201108  -8.82  -9.32 -10.02  -6.86 -10.33 -13.25
201109 -10.99 -13.00 -13.80 -11.02 -11.55 -11.96
201110   9.02   7.67   6.83  10.98  12.03  10.70
201111  -5.88  -7.19  -8.56  -3.07  -3.80  -7.12
201112  -3.11  -2.55  -3.79  -1.69  -1.69  -3.13
201201   8.50   8.50   7.83   4.48   4.81   7.27
201202   8.16   7.53   7.49   5.99   6.69   5.94
201203   0.84   0.91   0.14   1.37  -0.71  -0.75
201204  -0.51  -0.65  -2.68  -0.12  -1.50  -6.32
201205 -11.37 -12.11 -13.00 -10.41 -12.74 -13.93
201206   2.97   3.03   4.03   6.11   6.47  11.31
201207   0.16  -0.60  -1.54   1.93   1.18  -1.53
201208   3.94   4.23   5.71   2.99   3.84   7.61
201209   4.72   4.34   5.99   2.82   2.20   5.86
201210   1.17   0.96   1.62   0.90   0.99   4.02
201211   0.24   0.41  -0.17   3.49   1.70   2.73
201212   4.62   5.13   6.98   1.41   3.27   5.12
201301   4.21   6.68   8.96   4.35   6.05   8.26
201302   0.00  -0.07  -2.08  -0.53  -2.64  -5.14
201303  -0.17  -1.44  -2.07   1.97   0.48  -4.73
201304   1.92   2.45   4.40   2.66   3.57   7.52
201305   1.99   1.61   3.00  -0.95   0.65   3.69
201306  -1.87  -2.61  -3.64  -3.54  -4.62  -6.87
201307   5.44   6.28   6.82   5.95   7.31  10.17
201308   1.74   1.19   2.36  -0.98  -1.46  -0.57
201309   6.90   7.04   7.79   5.87   7.58   7.74
201310   2.13   4.14   6.57   2.42   4.18   6.77
201311   2.79   2.52   1.03   0.57   1.69   1.49
201312   3.02   2.76   2.74   2.27   2.50   2.13
201401  -1.22   0.32   1.31  -4.69  -3.54  -2.06
201402   7.53   7.33   8.52   7.46   7.35   7.21
201403  -1.88  -0.32   1.36  -0.80  -0.44  -0.59
201404  -0.68  -0.08   0.36   2.11   2.41   1.64
201405   0.08   0.13   0.28   1.30   0.95   0.28
201406   0.10   0.70  -0.83   1.02   0.16  -1.57
201407  -4.42  -4.89  -4.19  -3.91  -4.96  -3.33
201408  -0.32  -0.87  -1.39   0.59   0.10  -0.37
201409  -5.92  -5.01  -6.39  -3.14  -3.78  -3.55
201410  -2.72  -2.84  -5.74  -0.81  -2.85  -3.96
201411   1.41   0.64   0.52   3.12   3.15   0.37
201412  -0.60  -1.46  -3.20  -3.05  -3.72  -5.15
201501  -1.37  -1.86  -2.28   2.23   0.83  -3.90
201502   7.10   6.92   7.41   4.48   5.89   8.08
201503  -2.80  -2.36  -2.88  -1.57  -2.74  -2.20
201504   7.23   6.31   6.72   3.93   4.70   5.10
201505   2.48   1.79  -0.30   0.85  -0.52  -1.32
201506  -0.78  -1.06  -1.34  -3.73  -2.67  -2.87
201507   2.58   2.13   0.32   4.07   2.38   1.02
201508  -2.35  -2.76  -3.01  -6.07  -5.75  -7.41
201509  -2.35  -3.15  -4.36  -2.50  -2.94  -7.76
201510   4.14   4.01   2.53   6.29   6.92   6.37
201511   0.92  -1.22  -3.26  -0.81  -1.51  -2.24
201512   1.74   2.23   0.49  -1.87  -1.85  -3.13
201601  -8.28  -6.92  -6.52  -4.93  -4.84  -9.67
201602  -0.82  -0.27  -0.14  -2.20  -1.25  -2.13
201603   6.96   8.68   9.09   5.91   7.53   6.15
201604   1.32   1.20   3.38   0.87   1.42   5.53
201605   2.24   1.44  -0.73   0.74  -0.37  -2.02
201606  -8.84  -7.02  -6.03  -2.07  -4.50  -8.16
201607   6.29   5.38   5.95   3.73   4.78   4.50
201608   2.04   2.64   2.17  -1.15   0.59   2.57
201609   2.28   1.20   1.90   0.42   1.70   0.51
201610  -5.33  -4.45  -1.38  -6.72  -4.16   2.05
201611  -2.34  -1.27  -1.61  -4.11  -2.76  -1.01
201612   3.43   3.92   4.57   3.57   4.45   6.40
201701   4.43   4.71   4.96   2.46   2.66   2.88
201702   0.86   1.32   0.15   2.65   1.67  -1.85
201703   2.45   3.65   3.25   4.34   4.40   4.53
201704   6.79   7.28   5.25   4.33   6.00   3.27
201705   4.93   5.48   4.84   5.88   4.94   4.39
201706  -0.09   0.86   1.51  -1.98  -0.88   0.49
201707   3.67   3.92   5.02   1.52   3.33   5.36
201708   0.38  -0.28   0.42   0.87   0.43  -0.59
201709   3.43   2.86   2.06   1.73   2.93   4.04
201710   0.05  -0.38  -0.26   0.53   1.15   0.60
201711  -1.04  -0.17   0.72   0.06  -0.30   0.88
201712   2.91   2.69   3.26   1.16   1.23   1.82
201801   6.94   5.99   6.08   4.11   5.36   7.16
201802  -3.41  -4.23  -4.82  -5.28  -5.48  -5.37
201803  -1.45  -0.76  -0.93   0.38   0.17  -2.02
201804   1.17   1.82   2.00   1.48   2.06   3.67
201805   0.58  -1.42  -3.52  -0.32  -1.55  -6.18
201806  -1.03  -1.84  -1.75   0.64  -0.95  -1.77
201807   0.81   1.16   1.38   3.33   2.18   3.57
201808  -1.46  -1.49  -2.13   0.11  -3.29  -4.52
201809  -1.64  -1.44  -0.17  -0.86  -0.35   2.34
201810 -11.11  -9.87  -8.70  -8.40  -8.31  -7.87
201811  -1.80  -2.25  -2.55  -0.70  -1.29  -1.07
201812  -6.50  -4.79  -3.70  -3.66  -4.74  -4.56
201901   7.55   7.03   6.38   6.73   6.45   5.99
201902   2.21   1.28   1.91   4.43   3.09   2.28
201903  -0.27  -1.50  -0.78   2.90   1.11  -1.26
201904   4.84   4.69   2.74   4.03   3.88   4.05
201905  -3.33  -5.28  -3.20  -3.42  -5.72  -6.64
201906   3.89   3.88   3.29   7.05   6.91   5.01
201907  -4.55  -3.56  -2.63  -1.60  -1.97  -3.34
201908  -2.92  -3.41  -2.42  -0.32  -1.92  -4.74
201909   1.13   1.88   2.24   0.29   2.27   5.35
201910   4.90   4.08   3.96   4.01   2.18   3.96
201911   5.94   3.13   2.33   2.07   1.93   1.19
201912   6.78   6.48   7.01   3.72   3.87   4.31
202001  -1.45  -2.23  -3.02  -0.58  -2.44  -4.78
202002  -8.43  -8.93  -8.68  -8.24  -9.20  -9.46
202003 -15.37 -19.96 -23.44  -8.59 -14.39 -23.13
202004  14.10  11.09   8.35   6.96   6.41   5.07
202005   8.80   5.78   4.24   6.72   5.47   3.00
202006   3.34   3.51   3.05   2.51   4.72   6.27
202007   8.65   6.47   3.50   5.01   4.89   0.66
202008  10.30   7.25   5.60   4.33   4.51   5.57
202009  -1.41  -2.83  -3.22  -0.94  -2.45  -6.61
202010  -2.92  -4.01  -3.85  -4.91  -5.12  -4.37
202011  14.17  18.33  21.01  10.86  16.23  25.53
202012  11.69   9.25   8.58   5.47   5.03   5.05
202101  -0.06   1.10  -0.37  -1.40  -1.23  -1.68
202102   1.70   3.23   6.25   0.49   0.67   7.39
202103  -0.64   1.95   3.42   2.24   3.28   5.11
202104   7.74   6.51   6.77   7.87   4.28   2.47
202105   1.99   3.91   5.14   4.51   4.04   5.47
202106  -3.17  -2.90  -3.48   0.73  -1.83  -3.96
202107   3.38   2.96   1.11   4.00   1.34   0.31
202108   4.55   2.38   2.45   1.53   1.12   1.25
202109  -6.84  -5.19  -3.52  -6.53  -5.96  -1.26
202110   2.93   2.87   2.56   5.63   2.88   4.72
202111  -5.70  -4.86  -5.35  -2.07  -4.44  -6.64
202112   3.09   4.70   4.64   3.85   6.58   6.02
202201 -12.77  -7.05  -2.15 -10.78  -4.29   2.78
202202  -4.73  -3.90  -1.84  -3.77  -2.34  -5.52
202203  -0.87   0.14   1.04  -0.26   0.19  -1.38
202204  -9.44  -6.38  -5.28  -6.80  -4.60  -5.68
202205  -1.00   0.15   1.75  -1.94   1.79   5.76
202206 -12.56 -10.27 -11.51  -7.15 -10.93 -13.11
202207   7.69   4.89   3.89   9.23   4.36   1.02
202208  -9.43  -7.38  -3.64  -8.36  -6.59  -3.34
202209 -13.84 -13.45 -11.56  -9.08  -9.79  -8.86
202210   6.53   5.73   6.83   5.31   6.74   9.89
202211  12.21  11.12  10.45  13.04  13.65  12.49
202212  -0.94   0.71   2.28  -2.00  -0.24  -0.07
202301   6.19   8.26   7.11   8.74   7.41  10.09
202302  -1.94  -1.38   1.20  -2.15  -1.85   1.42
202303  -0.73  -0.99  -2.37   6.53   4.32  -4.11



  Average Equal Weighted Returns -- Monthly
               Small                 Big
          Low     2    High    Low     2    High
199007   5.72   4.31   4.74   5.61   4.84   4.04
199008  -8.29  -9.75  -9.18 -11.05 -12.01 -12.57
199009  -9.58  -9.63  -9.24 -12.96 -13.18 -13.23
199010   3.62   4.21   2.95   7.05   6.66   5.48
199011  -3.55  -3.06  -2.51  -1.67  -1.28  -1.77
199012  -0.84  -0.54  -0.04  -1.25  -0.53  -0.15
199101  -2.80  -2.42  -2.21   1.06   0.43   0.94
199102  10.12   9.87   8.83   9.87  10.40  12.50
199103  -1.44  -2.12  -2.19  -5.72  -6.06  -5.46
199104  -0.22  -0.30  -1.29  -0.77  -1.11  -2.28
199105  -2.03  -2.86  -3.00   0.29   0.70   0.77
199106  -6.77  -7.40  -6.65  -5.93  -6.63  -6.86
199107   2.31   2.98   2.65   3.80   4.48   4.45
199108   0.19   1.50   0.52   1.63   1.19   3.15
199109   5.21   7.22   7.13   2.83   2.80   2.89
199110  -3.39  -2.21  -3.21  -2.89  -3.60  -3.54
199111  -0.55  -0.96  -1.19  -1.48  -3.00  -2.87
199112   3.65   3.61   3.31   5.35   5.16   4.38
199201  -2.13  -2.54  -2.35  -0.81   1.75   1.88
199202   0.30  -0.69  -0.22   0.03  -0.23  -0.59
199203  -3.78  -3.58  -3.07  -2.73  -3.01  -2.98
199204   3.24   5.25   6.40   3.62   4.79   4.83
199205   6.52   6.67   7.55   3.43   4.95   4.86
199206  -0.46  -0.28  -0.37  -0.55  -1.76  -2.19
199207  -4.64  -4.86  -5.78  -3.51  -5.43  -6.86
199208  -2.08  -1.59  -1.99  -2.24  -1.41  -2.25
199209  -6.10  -7.24  -7.82  -3.49  -4.58  -7.11
199210 -10.15 -10.89  -8.71  -6.50  -6.84  -3.18
199211  -3.17  -2.88  -2.12  -0.95  -0.57  -1.12
199212   3.12   2.28   0.05   0.77   1.81   0.88
199301   7.15   5.40   6.10   1.75   2.85   5.51
199302   1.82   1.17   1.65   0.93   2.17   1.25
199303   7.59   6.90   8.72   5.72   5.45   5.62
199304   5.95   5.65   7.07   2.28   4.10   6.87
199305   0.89   2.64   4.10   0.81   0.58   2.14
199306  -4.77  -4.85  -3.63  -3.91  -3.99  -3.35
199307  -0.91   0.24   4.67   1.06   1.84   3.33
199308   8.88   8.07  11.19   8.06   8.92  11.43
199309   1.31   1.21   1.69  -1.07   0.12  -1.88
199310  -1.04   0.91   1.13   1.93   2.20   1.81
199311  -1.08  -0.01  -0.30  -1.46  -2.28  -3.29
199312   3.57   5.37   5.92   6.10   7.70  10.17
199401  11.44  11.27  16.20   6.28   8.06  11.66
199402   0.68   1.22   2.87  -1.76  -2.33  -1.69
199403  -1.99  -0.32   0.23  -1.60  -1.41   0.83
199404   3.76   3.04   4.72   3.43   4.60   6.26
199405  -2.04  -2.04  -0.85  -3.61  -3.84  -3.97
199406  -1.63  -0.62  -0.63  -0.21  -1.42  -1.98
199407   0.87   2.13   1.76   4.21   5.34   3.93
199408   2.44   1.20   1.29   1.92   1.86  -0.39
199409  -0.74  -0.56   0.93  -2.48  -3.46  -1.87
199410   0.78   0.89   1.39   3.10   2.89   1.76
199411  -5.41  -4.32  -4.44  -4.60  -4.17  -4.38
199412   0.70   0.54   1.52   0.87   0.79   0.34
199501   1.17   0.28   1.02  -1.87  -1.07  -0.37
199502   0.68   1.33   1.90   2.81   2.08   1.39
199503   1.90   2.27   2.15   3.95   2.12  -0.34
199504   1.29   0.71   1.08   2.30   3.66   3.88
199505   2.49   1.74   1.95   2.35   1.95   2.82
199506   0.36   1.21   2.03   2.50   1.00   0.94
199507   3.59   3.35   2.26   3.91   4.28   3.80
199508  -1.58  -2.84  -2.61  -2.67  -4.00  -5.13
